"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","735","test_checkbox_eventos[firefox]","Features.steps","Fri Sep 27 04:30:58 GMT-05:00 2024","passed","Fri Sep 27 04:30:59 GMT-05:00 2024","","test_eventos_steps","",""
"","2694","test_checkbox_eventos[chrome]","Features.steps","Fri Sep 27 04:30:53 GMT-05:00 2024","passed","Fri Sep 27 04:30:56 GMT-05:00 2024","","test_eventos_steps","",""
"","2326","test_ver_eventos_destacados[chrome]","Features.steps","Fri Sep 27 04:30:56 GMT-05:00 2024","passed","Fri Sep 27 04:30:58 GMT-05:00 2024","","test_eventos_steps","",""
"","3178","test_filtrar_eventos_destacados_facultad[edge]","Features.steps","Fri Sep 27 04:31:10 GMT-05:00 2024","passed","Fri Sep 27 04:31:13 GMT-05:00 2024","","test_home_steps","",""
"","3202","test_filtrar_eventos_destacados_facultad[chrome]","Features.steps","Fri Sep 27 04:30:42 GMT-05:00 2024","passed","Fri Sep 27 04:30:45 GMT-05:00 2024","","test_eventos_steps","",""
"","2781","test_checkbox_eventos[edge]","Features.steps","Fri Sep 27 04:30:56 GMT-05:00 2024","passed","Fri Sep 27 04:30:59 GMT-05:00 2024","","test_eventos_steps","",""
"","2110","test_ver_eventos_destacados[firefox]","Features.steps","Fri Sep 27 04:30:49 GMT-05:00 2024","passed","Fri Sep 27 04:30:52 GMT-05:00 2024","","test_eventos_steps","",""
"","2326","test_ver_eventos_destacados[chrome]","Features.steps","Fri Sep 27 04:30:45 GMT-05:00 2024","passed","Fri Sep 27 04:30:47 GMT-05:00 2024","","test_home_steps","",""
"","2280","test_ver_eventos_destacados[edge]","Features.steps","Fri Sep 27 04:31:06 GMT-05:00 2024","passed","Fri Sep 27 04:31:09 GMT-05:00 2024","","test_home_steps","",""
"","4913","test_filtrar_eventos_destacados_facultad[chrome]","Features.steps","Fri Sep 27 04:30:48 GMT-05:00 2024","passed","Fri Sep 27 04:30:52 GMT-05:00 2024","","test_home_steps","",""
"","2044","test_ver_eventos_destacados[firefox]","Features.steps","Fri Sep 27 04:30:53 GMT-05:00 2024","passed","Fri Sep 27 04:30:55 GMT-05:00 2024","","test_home_steps","",""
"","3132","test_filtrar_eventos_destacados_facultad[edge]","Features.steps","Fri Sep 27 04:31:03 GMT-05:00 2024","passed","Fri Sep 27 04:31:06 GMT-05:00 2024","","test_eventos_steps","",""
"","1204","test_filtrar_eventos_destacados_facultad[firefox]","Features.steps","Fri Sep 27 04:30:59 GMT-05:00 2024","passed","Fri Sep 27 04:31:00 GMT-05:00 2024","","test_home_steps","",""
"","2347","test_ver_eventos_destacados[edge]","Features.steps","Fri Sep 27 04:30:59 GMT-05:00 2024","passed","Fri Sep 27 04:31:01 GMT-05:00 2024","","test_eventos_steps","",""
"","1277","test_filtrar_eventos_destacados_facultad[firefox]","Features.steps","Fri Sep 27 04:30:52 GMT-05:00 2024","passed","Fri Sep 27 04:30:53 GMT-05:00 2024","","test_eventos_steps","",""
